City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
175,Paramonga,PE,2022-07-24 05:32:12,-10.6667,-77.8333,60.53,91,45,6.17,scattered clouds,0.0,0.0
176,Ardakan,IR,2022-07-24 05:32:13,32.31,54.0175,99.41,8,0,5.66,clear sky,0.0,0.0
177,Ahuimanu,US,2022-07-24 05:32:13,21.4447,-157.8378,76.24,72,10,14.63,clear sky,0.0,0.0
178,Port-Cartier,CA,2022-07-24 05:32:14,50.0334,-66.8654,57.74,95,83,4.94,broken clouds,0.0,0.0
179,Warri,NG,2022-07-24 05:32:14,5.5167,5.75,73.0,88,96,2.95,overcast clouds,0.0,0.0
180,Saskylakh,RU,2022-07-24 05:29:59,71.9167,114.0833,67.96,53,16,3.38,few clouds,0.0,0.0
181,Ryotsu,JP,2022-07-24 05:32:15,38.0833,138.4333,77.23,76,77,5.95,broken clouds,0.0,0.0
182,Russell,US,2022-07-24 05:29:29,32.3502,-85.1999,78.4,100,40,0.0,scattered clouds,0.0,0.0
183,Yar-Sale,RU,2022-07-24 05:29:52,66.8333,70.8333,47.68,88,100,20.22,light rain,0.0,0.0
184,Flinders,AU,2022-07-24 05:30:18,-34.5833,150.8552,68.18,68,5,4.0,clear sky,0.0,0.0
185,Tenenkou,ML,2022-07-24 05:32:16,14.4572,-4.9169,76.62,70,100,7.0,light rain,0.0,0.0
186,Kayerkan,RU,2022-07-24 05:32:16,69.3497,87.7602,73.53,56,100,6.35,overcast clouds,0.0,0.0
187,Port Blair,IN,2022-07-24 05:31:06,11.6667,92.75,84.76,72,95,7.31,overcast clouds,0.0,0.0
188,Alice Springs,AU,2022-07-24 05:28:30,-23.7,133.8833,80.06,15,0,13.04,clear sky,0.0,0.0
189,Bubaque,GW,2022-07-24 05:32:17,11.2833,-15.8333,78.73,81,100,9.01,moderate rain,0.0,0.0
190,Namibe,AO,2022-07-24 05:29:51,-15.1961,12.1522,61.92,90,1,1.95,clear sky,0.0,0.0
191,Lata,PT,2022-07-24 05:30:03,40.1629,-8.3327,58.35,77,0,1.52,clear sky,0.0,0.0
192,Muros,ES,2022-07-24 05:30:04,42.7762,-9.0603,62.58,83,4,4.23,clear sky,0.0,0.0
193,Amapa,BR,2022-07-24 05:32:18,1.0,-52.0,69.98,99,59,2.01,broken clouds,0.0,0.0
194,Male,MV,2022-07-24 05:30:51,4.1748,73.5089,82.49,75,96,12.26,overcast clouds,0.0,0.0
195,Kruisfontein,ZA,2022-07-24 05:30:13,-34.0033,24.7314,48.88,84,79,7.58,light rain,0.0,0.0
196,Georgetown,MY,2022-07-24 05:29:49,5.4112,100.3354,87.73,76,20,8.05,few clouds,0.0,0.0
197,Holoby,UA,2022-07-24 05:32:19,51.0865,25.0077,68.05,84,100,10.31,overcast clouds,0.0,0.0
198,Plettenberg Bay,ZA,2022-07-24 05:31:07,-34.0527,23.3716,52.72,79,97,6.49,light rain,0.0,0.0
199,Takoradi,GH,2022-07-24 05:29:43,4.8845,-1.7554,73.65,88,39,6.78,scattered clouds,0.0,0.0
200,Clyde River,CA,2022-07-24 05:29:49,70.4692,-68.5914,43.03,87,100,4.61,overcast clouds,0.0,0.0
201,Jasper,US,2022-07-24 05:28:32,37.2001,-94.3502,87.85,50,0,12.66,clear sky,0.0,0.0
202,Kloulklubed,PW,2022-07-24 05:30:11,7.0419,134.2556,75.7,75,100,8.75,heavy intensity rain,0.0,0.0
203,Oxford,GB,2022-07-24 05:32:12,51.7522,-1.256,65.05,87,100,13.8,overcast clouds,0.0,0.0
204,Kazanskaya,RU,2022-07-24 05:32:20,45.4106,40.4361,73.9,51,26,9.95,scattered clouds,0.0,0.0
205,Deputatskiy,RU,2022-07-24 05:30:48,69.3,139.9,65.53,42,34,13.56,scattered clouds,0.0,0.0
206,Prince Albert,CA,2022-07-24 05:32:21,53.2001,-105.7677,58.95,82,75,2.3,broken clouds,0.0,0.0
207,Altay,CN,2022-07-24 05:29:29,47.8667,88.1167,76.6,23,30,9.13,scattered clouds,0.0,0.0
208,Revda,RU,2022-07-24 05:32:22,56.801,59.9303,76.14,50,18,8.52,few clouds,0.0,0.0
209,Padre Bernardo,BR,2022-07-24 05:32:22,-15.35,-48.5,62.31,56,1,3.44,clear sky,0.0,0.0
210,Nabire,ID,2022-07-24 05:32:22,-3.3667,135.4833,82.13,81,75,1.7,broken clouds,0.0,0.0
211,Sorland,NO,2022-07-24 05:29:15,67.667,12.6934,51.66,73,86,9.46,overcast clouds,0.0,0.0
212,Birao,CF,2022-07-24 05:32:23,10.2849,22.7882,75.67,83,100,5.08,overcast clouds,0.0,0.0
213,Lamu,KE,2022-07-24 05:32:23,-2.2717,40.902,77.22,69,71,17.83,broken clouds,0.0,0.0
214,Alta Floresta,BR,2022-07-24 05:32:24,-9.8756,-56.0861,68.65,51,13,2.46,few clouds,0.0,0.0
215,Te Anau,NZ,2022-07-24 05:32:24,-45.4167,167.7167,40.42,92,16,2.19,few clouds,0.0,0.0
216,Pacific Grove,US,2022-07-24 05:30:33,36.6177,-121.9166,55.51,92,100,8.05,overcast clouds,0.0,0.0
217,Upernavik,GL,2022-07-24 05:29:23,72.7868,-56.1549,42.33,97,100,2.28,overcast clouds,0.0,0.0
218,Pavlodar,KZ,2022-07-24 05:32:25,52.3,76.95,67.8,52,40,22.37,scattered clouds,0.0,0.0
219,Kavieng,PG,2022-07-24 05:32:25,-2.5744,150.7967,84.94,70,27,12.41,light rain,0.0,0.0
220,Novyy Urgal,RU,2022-07-24 05:32:26,51.0736,132.5642,80.44,46,0,2.13,clear sky,0.0,0.0
221,Port Macquarie,AU,2022-07-24 05:32:26,-31.4333,152.9167,63.9,71,65,8.28,broken clouds,0.0,0.0
222,Klaksvik,FO,2022-07-24 05:31:12,62.2266,-6.589,50.54,91,99,24.92,overcast clouds,0.0,0.0
