City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Lorengau,PG,85.12,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
298,Roebourne,AU,77.07,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
302,Freeport,US,85.37,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
303,Springdale,US,79.14,clear sky,36.1867,-94.1288,Springdale Inn
304,Ubeda,ES,76.59,clear sky,38.0133,-3.3705,"Palacio del Deán Ortega, Úbeda"
305,Palmer,US,76.48,clear sky,42.1584,-72.3287,Wedgewood Motel
308,Sorong,ID,83.77,broken clouds,-0.8833,131.25,Waigo Splash Hotel
309,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
311,Tautira,PF,79.93,light rain,-17.7333,-149.15,Pension Oaoa
313,Tigzirt,DZ,82.4,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
318,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Shishime Hotel
322,Majene,ID,85.23,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
326,Xichang,CN,80.67,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
330,Hambantota,LK,86.34,broken clouds,6.1241,81.1185,Bungalow 63
333,Atar,MR,82.98,overcast clouds,20.5169,-13.0499,Oumou Elghoura
334,Cape Canaveral,US,83.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
335,Bhadrachalam,IN,80.78,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
338,Karpathos,GR,76.96,clear sky,35.507,27.2132,Alex
340,Banda Aceh,ID,85.21,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
342,Razole,IN,83.08,moderate rain,16.4833,81.8333,Sterling Palavelli Godavari
343,Garhi Khairo,PK,81.73,overcast clouds,28.0606,67.9803,Bandh Ali Hotel
346,Trairi,BR,76.37,few clouds,-3.2778,-39.2689,janelas do mar
351,Miyako,JP,76.21,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
352,Zatoka,UA,76.35,clear sky,46.0725,30.4654,Sonyachna
355,Kalemie,CD,75.99,clear sky,-5.9475,29.1947,Mahobilali
359,Aquiraz,BR,78.89,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
360,Pontianak,ID,89.58,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
363,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
366,Bhag,PK,80.98,overcast clouds,29.0415,67.8239,Bukhari hotl
371,Lalmohan,BD,83.73,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
373,Cayenne,GF,77.29,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
378,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
382,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
385,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
397,Buala,SB,84.76,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
401,Suruc,TR,82.18,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
404,Mogadishu,SO,76.87,broken clouds,2.0371,45.3438,Hotel Juba
406,Lucea,JM,79.9,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
410,Kiunga,PG,86.13,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
413,Houma,US,78.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
417,Chumikan,RU,79.21,scattered clouds,54.7183,135.315,Fortuna
418,Asyut,EG,77.18,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
419,Dorado,PR,77.18,few clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
423,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
427,Vilyuysk,RU,79.81,few clouds,63.7553,121.6247,Gostinitsa Viliuisk
430,Kushima,JP,86.9,overcast clouds,31.4583,131.2333,Hanaoka
432,Sri Aman,MY,84.25,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
433,Papar,MY,86.0,overcast clouds,5.7333,115.9333,Koposizon Homestay
434,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
435,Mantua,IT,78.35,clear sky,45.1667,10.7833,Hotel la Favorita
437,Nouakchott,MR,80.53,light rain,18.0858,-15.9785,HOTEL IMAN
438,Dwarka,IN,82.13,light rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
441,Pasighat,IN,84.58,overcast clouds,28.0667,95.3333,Siang Guest House
444,Rameswaram,IN,82.54,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
445,Yazoo City,US,75.7,scattered clouds,32.8551,-90.4056,Hampton Inn Yazoo City
446,Tura,IN,78.15,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
447,Waycross,US,75.45,broken clouds,31.2136,-82.354,Super 8 by Wyndham Waycross GA
448,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
451,Maumere,ID,80.71,few clouds,-8.6199,122.2111,Sylvia Hotel
